geoName,smartphone xiaomi
Bangladesh,100
Italy,86
Brazil,82
Indonesia,80
Portugal,75
France,70
Greece,70
Tunisia,51
Nepal,46
Malaysia,45
Germany,40
Belgium,38
Spain,30
Philippines,29
Austria,27
Singapore,27
India,26
Croatia,26
Switzerland,25
Algeria,21
Morocco,20
Chile,20
Romania,17
Vietnam,17
Netherlands,15
Bulgaria,14
Czechia,13
United Arab Emirates,13
Mexico,12
Slovakia,11
